placename,want,wanting,longitude,latitude
Canterbury,0.9973154,0.0026845750,  1.0789089,51.28023
Ipswich,0.9980222,0.0019777672,  1.1482200,52.05674
Clacton,0.9979360,0.0020640480,  1.1530350,51.78953
Folkestone,0.9977059,0.0022941147,  1.1694560,51.08140
Sheringham,0.9963104,0.0036895556,  1.2109589,52.94442
Harwich,0.9984508,0.0015492041,  1.2602970,51.93473
Norwich,0.9971308,0.0028691766,  1.2973550,52.63089
Cromer,0.9965350,0.0034650160,  1.3018660,52.93145
Dover,0.9974733,0.0025267451,  1.3134027,51.12788
Felixstowe,0.9984499,0.0015501090,  1.3512550,51.96173
Margate,0.9974680,0.0025319500,  1.3868339,51.38965
Ramsgate,0.9973268,0.0026731558,  1.4198950,51.33555
Great Yarmouth,0.9973763,0.0026236677,  1.7280470,52.59823
Lowestoft,0.9973901,0.0026098777,  1.7534490,52.48114
Swaffham,0.9966186,0.0033813785,  0.6874810,52.64747
Dereham,0.9965142,0.0034858050,  0.9378270,52.68162
Ely,0.9982909,0.0017090548,  0.2623630,52.39954
March,0.9958114,0.0041885513,  0.0886220,52.55172
St Neots,0.9979113,0.0020886889, -0.2651030,52.23008
Banham,0.9975195,0.0024805347,  1.0402849,52.45125
Holt,0.9962494,0.0037506393,  1.0867470,52.90936
Cromer,0.9965350,0.0034650160,  1.3018660,52.93145
Hunstanton,0.9957923,0.0042077141,  0.4910320,52.93891
Horncastle,0.9949715,0.0050285346, -0.1124500,53.20731
Market Weighton,0.9906642,0.0093358169, -0.6677465,53.86484
Hawes,0.9920603,0.0079396784, -2.1968695,54.30383
Reeth,0.9900570,0.0099429628, -1.9428115,54.38946
Aysgarth,0.9904129,0.0095871290, -1.9967434,54.29159
Stanhope,0.9902730,0.0097269957, -2.0113020,54.74946
Keswick,0.9885822,0.0114177837, -3.1347060,54.60128
Oxenholme,0.9906782,0.0093217915, -2.7243328,54.30134
