placename,might_be_able_to,might_can,might_could,longitude,latitude
Basingstoke,0.9906323,0.0000000000,0.0093676815, -1.0923964,51.26654
Portsmouth,1.0000000,0.0000000000,0.0000000000, -1.0879769,50.81977
York,0.9978070,0.0000000000,0.0021929825, -1.0872979,53.95997
Selby,0.9973428,0.0000000000,0.0026572188, -1.0671890,53.78352
Helmsley,0.9979181,0.0000000000,0.0020818876, -1.0562636,54.24651
Towcester,0.9905063,0.0047468354,0.0047468354, -0.9896880,52.13511
Reading,0.9948320,0.0000000000,0.0051679587, -0.9781303,51.45426
Retford,1.0000000,0.0000000000,0.0000000000, -0.9455030,53.32136
Petersfield,0.9903382,0.0048309179,0.0048309179, -0.9389900,51.00759
Northampton,0.9955324,0.0044676098,0.0000000000, -0.9026560,52.24048
Melton Mowbray,0.9957708,0.0025375344,0.0016916896, -0.8871260,52.76640
Aylesbury,0.9896819,0.0051590714,0.0051590714, -0.8084000,51.81561
Newark-on-Trent,0.9964389,0.0026708213,0.0008902738, -0.8065700,53.07004
Malton,0.9976190,0.0000000000,0.0023809524, -0.7978970,54.13684
Chichester,0.9952343,0.0000000000,0.0047656871, -0.7749360,50.83761
Gainsborough,1.0000000,0.0000000000,0.0000000000, -0.7744650,53.40058
Milton Keynes,0.9881812,0.0039395929,0.0078791858, -0.7594171,52.04062
Aldershot,0.9922581,0.0000000000,0.0077419355, -0.7557509,51.24837
High Wycombe,1.0000000,0.0000000000,0.0000000000, -0.7482290,51.62861
Midhurst,0.9953988,0.0000000000,0.0046012270, -0.7372740,50.98690
Kettering,0.9960552,0.0000000000,0.0039447732, -0.7302490,52.39632
Wellingborough,0.9913295,0.0043352601,0.0043352601, -0.6939640,52.30242
Corby,0.9965066,0.0000000000,0.0034934498, -0.6842333,52.49230
Bognor Regis,0.9949537,0.0025231287,0.0025231287, -0.6730610,50.78300
Scunthorpe,1.0000000,0.0000000000,0.0000000000, -0.6544130,53.58865
Grantham,0.9947973,0.0026013440,0.0026013440, -0.6435820,52.91252
Whitby,1.0000000,0.0000000000,0.0000000000, -0.6133470,54.48633
Slough,0.9923780,0.0000000000,0.0076219512, -0.5950406,51.51054
Guildford,0.9972184,0.0000000000,0.0027816412, -0.5704090,51.23622
Woking,0.9973475,0.0000000000,0.0026525199, -0.5600349,51.31677
Lincoln,0.9983766,0.0000000000,0.0016233766, -0.5405790,53.23069
Bedford,0.9884170,0.0057915058,0.0057915058, -0.4667782,52.13864
Heathrow,0.9932524,0.0000000000,0.0067476383, -0.4542955,51.47002
Driffield,0.9984310,0.0000000000,0.0015690377, -0.4433770,54.00600
Beverley,0.9983032,0.0000000000,0.0016968326, -0.4350930,53.84196
Luton,1.0000000,0.0000000000,0.0000000000, -0.4200255,51.87867
Scarborough,0.9983259,0.0000000000,0.0016741071, -0.3997520,54.28311
Worthing,0.9948298,0.0025850926,0.0025850926, -0.3728820,50.81787
Dorking,0.9979633,0.0000000000,0.0020366599, -0.3323780,51.23220
Hull,0.9982497,0.0000000000,0.0017502917, -0.3274198,53.76762
Horsham,1.0000000,0.0000000000,0.0000000000, -0.3258580,51.06288
Biggleswade,0.9931090,0.0000000000,0.0068910072, -0.2642200,52.08694
Peterborough,0.9946893,0.0000000000,0.0053106745, -0.2405299,52.56950
Welwyn Garden City,1.0000000,0.0000000000,0.0000000000, -0.2086610,51.80317
Bridlington,0.9983562,0.0000000000,0.0016438356, -0.1988020,54.08535
Stevenage,1.0000000,0.0000000000,0.0000000000, -0.1966120,51.90376
Crawley,1.0000000,0.0000000000,0.0000000000, -0.1872275,51.10914
Huntingdon,0.9964731,0.0000000000,0.0035269222, -0.1825520,52.33146
Hove,0.9951338,0.0024330900,0.0024330900, -0.1687490,50.82793
Spalding,0.9939210,0.0000000000,0.0060790274, -0.1537024,52.79010
Brighton,0.9951338,0.0024330900,0.0024330900, -0.1371630,50.82253
London,0.9975398,0.0008200811,0.0016401621, -0.1277583,51.50735
Grimsby,1.0000000,0.0000000000,0.0000000000, -0.0807840,53.56747
Boston,0.9983207,0.0000000000,0.0016792611, -0.0265770,52.97894
Royston,1.0000000,0.0000000000,0.0000000000, -0.0240660,52.04814
Louth_Lincs,0.9988617,0.0000000000,0.0011383039, -0.0077110,53.36596
Lewes,0.9952267,0.0023866348,0.0023866348,  0.0087800,50.87387
Chatteris,1.0000000,0.0000000000,0.0000000000,  0.0540120,52.45610
Uckfield,0.9946429,0.0026785714,0.0026785714,  0.0959130,50.96641
Cambridge,1.0000000,0.0000000000,0.0000000000,  0.1218170,52.20534
Bishop's Stortford,1.0000000,0.0000000000,0.0000000000,  0.1536502,51.87216
Wisbech,1.0000000,0.0000000000,0.0000000000,  0.1587970,52.66632
Sevenoaks,1.0000000,0.0000000000,0.0000000000,  0.1908980,51.27241
Tunbridge Wells,1.0000000,0.0000000000,0.0000000000,  0.2636950,51.13238
Eastbourne,0.9947826,0.0026086957,0.0026086957,  0.2904720,50.76803
Brentwood,1.0000000,0.0000000000,0.0000000000,  0.3071749,51.62047
Skegness,0.9983962,0.0000000000,0.0016038492,  0.3378810,53.14640
Downham Market,1.0000000,0.0000000000,0.0000000000,  0.3854720,52.60661
King's Lynn,1.0000000,0.0000000000,0.0000000000,  0.4022963,52.75168
Bexhill,0.9949917,0.0025041736,0.0025041736,  0.4662071,50.84991
Chelmsford,1.0000000,0.0000000000,0.0000000000,  0.4685497,51.73559
Mildenhall,1.0000000,0.0000000000,0.0000000000,  0.5156095,52.34757
Medway,1.0000000,0.0000000000,0.0000000000,  0.5417861,51.40474
Braintree,1.0000000,0.0000000000,0.0000000000,  0.5509269,51.88009
Gillingham,1.0000000,0.0000000000,0.0000000000,  0.5514380,51.38632
Hastings,0.9956076,0.0021961933,0.0021961933,  0.5734530,50.85426
Maldon,1.0000000,0.0000000000,0.0000000000,  0.6714480,51.73181
Southend,1.0000000,0.0000000000,0.0000000000,  0.7077123,51.54593
Bury St Edmunds,1.0000000,0.0000000000,0.0000000000,  0.7104932,52.24292
Thetford,1.0000000,0.0000000000,0.0000000000,  0.7516570,52.41286
Ashford,1.0000000,0.0000000000,0.0000000000,  0.8750190,51.14647
Faversham,1.0000000,0.0000000000,0.0000000000,  0.8893580,51.31599
Colchester,1.0000000,0.0000000000,0.0000000000,  0.8918740,51.89593
New Romney,1.0000000,0.0000000000,0.0000000000,  0.9394730,50.98512
Canterbury,1.0000000,0.0000000000,0.0000000000,  1.0789089,51.28023
Ipswich,1.0000000,0.0000000000,0.0000000000,  1.1482200,52.05674
Clacton,1.0000000,0.0000000000,0.0000000000,  1.1530350,51.78953
Folkestone,1.0000000,0.0000000000,0.0000000000,  1.1694560,51.08140
Sheringham,1.0000000,0.0000000000,0.0000000000,  1.2109589,52.94442
Harwich,1.0000000,0.0000000000,0.0000000000,  1.2602970,51.93473
Norwich,1.0000000,0.0000000000,0.0000000000,  1.2973550,52.63089
Cromer,1.0000000,0.0000000000,0.0000000000,  1.3018660,52.93145
Dover,1.0000000,0.0000000000,0.0000000000,  1.3134027,51.12788
Felixstowe,1.0000000,0.0000000000,0.0000000000,  1.3512550,51.96173
Margate,1.0000000,0.0000000000,0.0000000000,  1.3868339,51.38965
Ramsgate,1.0000000,0.0000000000,0.0000000000,  1.4198950,51.33555
Great Yarmouth,1.0000000,0.0000000000,0.0000000000,  1.7280470,52.59823
Lowestoft,1.0000000,0.0000000000,0.0000000000,  1.7534490,52.48114
Swaffham,1.0000000,0.0000000000,0.0000000000,  0.6874810,52.64747
Dereham,1.0000000,0.0000000000,0.0000000000,  0.9378270,52.68162
Ely,1.0000000,0.0000000000,0.0000000000,  0.2623630,52.39954
March,1.0000000,0.0000000000,0.0000000000,  0.0886220,52.55172
St Neots,0.9963530,0.0000000000,0.0036469730, -0.2651030,52.23008
Banham,1.0000000,0.0000000000,0.0000000000,  1.0402849,52.45125
Holt,1.0000000,0.0000000000,0.0000000000,  1.0867470,52.90936
Cromer,1.0000000,0.0000000000,0.0000000000,  1.3018660,52.93145
Hunstanton,0.9978425,0.0000000000,0.0021574973,  0.4910320,52.93891
Horncastle,0.9984076,0.0000000000,0.0015923567, -0.1124500,53.20731
Market Weighton,0.9983343,0.0000000000,0.0016657413, -0.6677465,53.86484
Hawes,1.0000000,0.0000000000,0.0000000000, -2.1968695,54.30383
Reeth,1.0000000,0.0000000000,0.0000000000, -1.9428115,54.38946
Aysgarth,1.0000000,0.0000000000,0.0000000000, -1.9967434,54.29159
Stanhope,1.0000000,0.0000000000,0.0000000000, -2.0113020,54.74946
Keswick,1.0000000,0.0000000000,0.0000000000, -3.1347060,54.60128
Oxenholme,1.0000000,0.0000000000,0.0000000000, -2.7243328,54.30134
