placename,preposition_dropped,preposition_retained,longitude,latitude
Dereham,0.012072435,0.9879276,  0.9378270,52.68162
Ely,0.019763931,0.9802361,  0.2623630,52.39954
March,0.021106492,0.9788935,  0.0886220,52.55172
St Neots,0.019431450,0.9805685, -0.2651030,52.23008
Banham,0.015359741,0.9846403,  1.0402849,52.45125
Holt,0.018500487,0.9814995,  1.0867470,52.90936
Cromer,0.021256932,0.9787431,  1.3018660,52.93145
Hunstanton,0.015839493,0.9841605,  0.4910320,52.93891
Horncastle,0.022490222,0.9775098, -0.1124500,53.20731
Market Weighton,0.023483366,0.9765166, -0.6677465,53.86484
Hawes,0.064675401,0.9353246, -2.1968695,54.30383
Reeth,0.055547955,0.9444520, -1.9428115,54.38946
Aysgarth,0.036177376,0.9638226, -1.9967434,54.29159
Stanhope,0.025272025,0.9747280, -2.0113020,54.74946
Keswick,0.077777778,0.9222222, -3.1347060,54.60128
Oxenholme,0.063623561,0.9363764, -2.7243328,54.30134
